zip,service_type,subregion
2188,Electricity,NEWE
2189,Electricity,NEWE
2190,Electricity,NEWE
2191,Electricity,NEWE
2196,Electricity,NEWE
2199,Electricity,NEWE
2201,Electricity,NEWE
2203,Electricity,NEWE
2204,Electricity,NEWE
2205,Electricity,NEWE
2206,Electricity,NEWE
2210,Electricity,NEWE
2211,Electricity,NEWE
2212,Electricity,NEWE
2215,Electricity,NEWE
2217,Electricity,NEWE
2222,Electricity,NEWE
2228,Electricity,NEWE
2238,Electricity,NEWE
2241,Electricity,NEWE
2266,Electricity,NEWE
2269,Electricity,NEWE
2283,Electricity,NEWE
2284,Electricity,NEWE
2293,Electricity,NEWE
2295,Electricity,NEWE
2297,Electricity,NEWE
2298,Electricity,NEWE
2301,Electricity,NEWE
2302,Electricity,NEWE
2303,Electricity,NEWE
2304,Electricity,NEWE
2305,Electricity,NEWE
2322,Electricity,NEWE
2324,Electricity,NEWE
2325,Electricity,NEWE
2327,Electricity,NEWE
2330,Electricity,NEWE
2331,Electricity,NEWE
2332,Electricity,NEWE
2333,Electricity,NEWE
2334,Electricity,NEWE
2337,Electricity,NEWE
2338,Electricity,NEWE
2339,Electricity,NEWE
2340,Electricity,NEWE
2341,Electricity,NEWE
2343,Electricity,NEWE
2344,Electricity,NEWE
2345,Electricity,NEWE
2346,Electricity,NEWE
2347,Electricity,NEWE
2348,Electricity,NEWE
2349,Electricity,NEWE
2350,Electricity,NEWE
2351,Electricity,NEWE
2355,Electricity,NEWE
2356,Electricity,NEWE
2357,Electricity,NEWE
2358,Electricity,NEWE
2359,Electricity,NEWE
2360,Electricity,NEWE
2361,Electricity,NEWE
2362,Electricity,NEWE
2364,Electricity,NEWE
2366,Electricity,NEWE
2367,Electricity,NEWE
2368,Electricity,NEWE
2370,Electricity,NEWE
2375,Electricity,NEWE
2379,Electricity,NEWE
2381,Electricity,NEWE
2382,Electricity,NEWE
2420,Electricity,NEWE
2421,Electricity,NEWE
2445,Electricity,NEWE
2446,Electricity,NEWE
2447,Electricity,NEWE
2451,Electricity,NEWE
2452,Electricity,NEWE
2453,Electricity,NEWE
2454,Electricity,NEWE
2455,Electricity,NEWE
2456,Electricity,NEWE
2457,Electricity,NEWE
2458,Electricity,NEWE
2459,Electricity,NEWE
2460,Electricity,NEWE
2461,Electricity,NEWE
2462,Electricity,NEWE
2464,Electricity,NEWE
2465,Electricity,NEWE
2466,Electricity,NEWE
2467,Electricity,NEWE
2468,Electricity,NEWE
2471,Electricity,NEWE
2472,Electricity,NEWE
2474,Electricity,NEWE
2475,Electricity,NEWE
2476,Electricity,NEWE
2477,Electricity,NEWE
2478,Electricity,NEWE
2479,Electricity,NEWE
2481,Electricity,NEWE
2482,Electricity,NEWE
2492,Electricity,NEWE
2493,Electricity,NEWE
2494,Electricity,NEWE
2495,Electricity,NEWE
2532,Electricity,NEWE
2534,Electricity,NEWE
2535,Electricity,NEWE
2536,Electricity,NEWE
2537,Electricity,NEWE
2538,Electricity,NEWE
2539,Electricity,NEWE
2540,Electricity,NEWE
2541,Electricity,NEWE
2542,Electricity,NEWE
2543,Electricity,NEWE
2552,Electricity,NEWE
2553,Electricity,NEWE
2554,Electricity,NEWE
2556,Electricity,NEWE
2557,Electricity,NEWE
2558,Electricity,NEWE
2559,Electricity,NEWE
2561,Electricity,NEWE
2562,Electricity,NEWE
2563,Electricity,NEWE
2564,Electricity,NEWE
